公司名称,岗位,所属岗位,薪资,平均薪资（千/月）,地址,所属城区,经度,纬度
天津四维企业有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津经济技术开发区黄海路101号,滨海新区,117.69869,39.047215
天津顶正印刷包材有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津经济技术开发区渤海路19号,滨海新区,117.685586,39.057197
禧天龙科技发展有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,天津滨海高新区风光大道12号,东丽区,117.517777,39.113883
中爱科技（北京）有限责任公司,库房管理,仓库管理员,3-6千/月,4.5,天津市东丽区空港经济区中环南路39号神州通物流园,东丽区,117.420484,39.128096
航佳机场商业机构,仓管,仓库管理员,3-3.5千/月,3.25,天津滨海国际机场,东丽区,117.367385,39.139655
中铁现代物流科技股份有限公司天津分公司,收发料员,搬运工,3-5千/月,4,八里台工业园区,津南区,117.341005,38.963667
天津四环汽车内饰件有限公司,库管员,仓库管理员,3-4.5千/月,3.75,现代产业区健捷路与华康道交口,滨海新区,117.450428,39.251075
天津光电惠高电子有限公司,仓库管理专员,仓库管理员,3-4.5千/月,3.75,天津市河西区泰山路6号,河西区,117.23622,39.093277
中联信达（天津）科技发展有限公司,包装工,搬运工,3-4.5千/月,3.75,天津市宝坻区九园工业区北环路9号,宝坻区,,
深圳市华夏龙供应链管理有限公司,物流操作员,仓库管理员,3-5千/月,4,天津市北辰区大张庄镇南王平村村南津围公路东,北辰区,117.225842,39.337148
天士力控股集团有限公司,聘拆零及内复核员,仓库管理员,3-4.5千/月,3.75,天士力,北辰区,117.219331,39.21802
天津盛世欣兴格力电器贸易有限公司,配件管理员,仓库管理员,3-4.5千/月,3.75,空港经济区中心大道与东七道交口远航商务中心,东丽区,117.414376,39.148425
吉中（天津）汽车内饰件有限公司,仓库主管,仓库主管,4.5-6千/月,5.25,西青经济技术开发区赛达四支路7号,西青区,117.261874,38.988916
广州一智通供应链管理有限公司,仓库管理员（宜家项目）,仓库管理员,4-6千/月,5,纬十道125号,河北区,117.461458,39.109883
上海方通车运物流有限公司北京运输分公司,调度员,调度员,3-5千/月,4,天津市滨海新区天保永利物流（渤海10路）院内方通物流停车场,滨海新区,,
天津汉晴环保科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,学府工业区慧谷东区,河北区,117.095905,39.056704
招商路凯（中国）投资控股有限公司,OPS-叉车司机（Forklift Driver）,调度员,3-4.5千/月,3.75,天津市东丽区合兴路国家物资储备八三八处,东丽区,,
天津百联硕办公文具有限公司,晨光电商部门后勤主管,仓库主管,4.5-6千/月,5.25,天津市北辰区汇川商贸城（原蓝海商贸城）,北辰区,117.195461,39.208353
天津市泰斯特仪器有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,杨成庄乡北洋工业园,津南区,117.069707,38.998032
天津艾克凯胜石墨烯科技有限公司,仓库管理员,仓库管理员,2-4千/月,3,东丽开发区丽新路10号,东丽区,117.351167,39.082408
天津市金舵手服装有限公司,仓库理货员,理货员,3-4.5千/月,3.75,文静路4号,河西区,117.207018,39.103316
北京迈得诺医疗技术有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,南开区,南开区,117.156515,39.144105
箱信（天津）国际货运代理有限公司,现场理货（塘沽+五险一金）,理货员,3-4.5千/月,3.75,京门大道188号,滨海新区,117.767087,39.020467
中国电子系统工程第二建设有限公司国际事业部,仓库管理员,仓库管理员,3-4.5千/月,3.75,逸仙工业园区三星视界附近（一家酒店）,南开区,117.040345,39.414671
曙光信息产业股份有限公司,库管员(天津）,仓库管理员,4-6千/月,5,海泰华科大街15号,西青区,117.084504,39.103427
天津中澳嘉喜诺生物科技有限公司,仓库管理员,仓库管理员,2.5-4千/月,3.25,天津市武清区徐官屯工业区泰源道5号,武清区,117.090229,39.403751
中铁现代物流科技股份有限公司天津分公司,拉料员,调度员,3-5千/月,4,八里台工业园区,津南区,117.341005,38.963667
中铁现代物流科技股份有限公司天津分公司,理货员,理货员,3-5千/月,4,八里台工业园区,津南区,117.341005,38.963667
中铁现代物流科技股份有限公司天津分公司,叉车司机,调度员,4-6千/月,5,八里台工业园区,津南区,117.341005,38.963667
禧天龙科技发展有限公司,账务员,仓库管理员,4.5-6千/月,5.25,天津滨海高新区风光大道12号,东丽区,117.517777,39.113883
广州一智通供应链管理有限公司,物流专员,仓库管理员,4-6千/月,5,十路125号宜家物流分拨中心,河北区,117.461458,39.109883
天津盛世欣兴格力电器贸易有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,津汉公路宅急送院内,和平区,117.277659,39.156519
跨越速运集团有限公司,诚招仓库主管,仓库主管,5-7千/月,6,空港经济区领航路(金加利有限公司)旁跨越物流有限公司,东丽区,,
天津同创顶立机械有限公司,仓库管理员,仓库管理员,4-6千/月,5,天津武清开发区泉丰路9号,武清区,117.033094,39.428186
北京玖程龙禹科贸有限公司,仓库理单员,仓库管理员,3-4.5千/月,3.75,大碱厂南辛庄（天津玖程龙禹科技有限公司),武清区,117.091679,39.440928
天津北特铝合金精密制造有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,经济开发区北区七号路中央大道16号,静海县,118.862854,32.142034
中铁现代物流科技股份有限公司天津分公司,物流专员,仓库管理员,3-5千/月,4,八里台工业园区,津南区,117.341005,38.963667
富诺尔（天津）压缩机科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市津南区八里台镇泰达工业园科达五路5-1号,津南区,117.355547,38.962302
天津莎莎智城餐饮有限公司,仓储物流主管,仓库主管,4.5-6千/月,5.25,腾达园内兴华十支路20号C座,西青区,117.20874,39.033396
天津得窝恩电子有限公司,仓库管理员,仓库管理员,2-4千/月,3,天津西青汽车工业区（张家窝工业园区）汇源路12号,西青区,117.051006,39.081141
北京曼可顿食品科技有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市东丽区跃进路福元路交口,东丽区,117.29858,39.208952
天津市津尔安科技发展有限公司,仓库主管,仓库主管,4.8-5.5千/月,5.15,天津滨海高新区华苑产业区（环外）海泰创新五路8号,西青区,117.084321,39.080039
高能智核环保科技有限公司,仓库物流主管,仓库主管,6-8千/月,7,天津市滨海高新区滨海科技园高新三路120号,东丽区,,
天津大田物流有限公司,叉车工,调度员,3-4.5千/月,3.75,塘沽第十三大街与泰安路交口出口加工区内,静海县,117.647028,39.028402
高能智核环保科技有限公司,仓库管理员,仓库管理员,4.5-6千/月,5.25,天津市滨海高新区滨海科技园高新三路120号,东丽区,117.533447,39.139851
本来生活网,果蔬加工主管,仓库主管,6-8千/月,7,天津西青区工业大学软件学院A8504,西青区,117.113679,39.075004
天狮集团有限公司,仓库主管(J10553),仓库主管,4.5-6千/月,5.25,天津市武清开发区新源道18号天狮国际健康产业园,武清区,117.02486,39.437302
天津睿博龙物流股份有限公司,现场客服,仓库管理员,3-4.5千/月,3.75,华粮道2298号全程物流,东丽区,117.329929,39.206448
北京万里伟业物流有限公司,物料保管员,仓库管理员,3.5-5千/月,4.25,天津市北辰区西提头镇陆路港物流装备产业园22号库,北辰区,117.338623,39.262667
天津千顺科技有限公司,仓库管理员实习生,仓库管理员,4.5-6千/月,5.25,天津-和平区,和平区,117.221467,39.12339
天津市英辰精密模具有限公司,仓库管理员,仓库管理员,3-4.5千/月,3.75,天津市北辰区津围公路华盛道61号,北辰区,117.250358,39.239602
中豪（天津）电力科技股份有限公司,仓库管理员,仓库管理员,2-3千/月,2.5,八里台工业园区丰泽三大道15号,津南区,117.171172,39.097845
