company,job_title,joburl,lat,lng,salary,address
Hellobike,仓管&维修管理-邯郸,https://jobs.51job.com/handan/98066455.html?s=01&t=0,36.616164,114.452713,4.5-6千/月,
TCL速必达希杰物流有限公司,仓管员/仓务员,https://jobs.51job.com/baoding/103245855.html?s=01&t=0,,,4.5-6千/月,河北省保定市涿州市义和庄镇长安城村北河北森牛牧业有限公司
TCL速必达希杰物流有限公司,现场调度,https://jobs.51job.com/langfang/103931427.html?s=01&t=0,39.579478,116.798176,3.5-5千/月,
Volvo Car China 沃尔沃汽车中国,维修库房计划员,https://jobs.51job.com/zhangjiakou/96512977.html?s=01&t=0,40.783772,114.804959,3-4.5千/月,
爱迪特（秦皇岛）科技股份有限公司 ,仓库管理员,https://jobs.51job.com/qinhuangdao/96152411.html?s=01&t=0,39.932831,119.463239,2.9-4.2千/月,
爱迪特（秦皇岛）科技股份有限公司,仓库管理员,https://jobs.51job.com/qinhuangdao/96152411.html?s=01&t=0,39.932831,119.463239,2.9-4.2千/月,开发区都山路9号
安得智联科技股份有限公司,,https://jobs.51job.com/shijiazhuang/98926052.html?s=01&t=0,38.098245,114.432493,,
昂特（北京）科技有限公司,库房经理,https://jobs.51job.com/langfang/109453116.html?s=01&t=0,,,,河北省廊坊市固安县新兴示范园区东位村村东D区
奥星集团,,https://jobs.51job.com/shijiazhuang/89490912.html?s=01&t=0,37.985146,114.650285,,
霸州市昊成彩钢钢构制造有限公司,仓库管理员(职位编号：03),https://jobs.51job.com/langfang/106361722.html?s=01&t=0,39.116757,116.391369,3-4.5千/月,霸州市益津市场家装精品街
百川能源股份有限公司,库房管理主管,https://jobs.51job.com/langfang/99656334.html?s=01&t=0,39.31307,116.500439,4.5-6千/月,
百斯图工具制造有限公司,仓库管理员,https://jobs.51job.com/langfang/108246176.html?s=01&t=0,39.494787,116.667795,,廊坊市安次区工业园安中路3号
百斯图工具制造有限公司,库房主管,https://jobs.51job.com/langfang/106815205.html?s=01&t=0,39.494787,116.667795,0.6-1万/月,廊坊市安次区工业园安中路3号
宝福连接（永清）科技有限公司,仓库配货员,https://jobs.51job.com/langfang/109952032.html?s=01&t=0,39.354458,116.513623,,永清县智能控制产业园（永清县孔雀城附近
保定保汇汽车销售有限公司,零件计划员,https://jobs.51job.com/baoding/106101890.html?s=01&t=0,38.836833,115.544021,3-4.5千/月,河北省保定市莲池区东二环539号，广汽丰田4S店
保定创锐泵业有限公司,质检员,https://jobs.51job.com/baoding/81560821.html?s=01&t=0,38.918694,115.448869,,保定高新区中关村创新基地12号楼东单元2楼
保定多普康智能科技有限公司,仓库管理员,https://jobs.51job.com/baoding/109856617.html?s=01&t=0,38.911289,115.471204,,保定市高开区火炬产业园5号楼3单元3层
保定费奇赫顿服饰有限公司 ,仓库管理员,https://jobs.51job.com/baoding/93845624.html?s=01&t=0,38.905332,115.561215,2-3千/月,
保定费奇赫顿服饰有限公司,仓库管理员,https://jobs.51job.com/baoding/93845624.html?s=01&t=0,38.905332,115.561215,2-3千/月,莲池区西百楼工业园河东巷16号
保定瀚疆建筑安装工程有限公司,仓库主管,https://jobs.51job.com/hebeisheng/109719508.html?s=01&t=0,38.879989,115.47146,,保定
保定兰格恒流泵有限公司,,https://jobs.51job.com/baoding/102975686.html?s=01&t=0,38.8979,115.47141,,
保定欧普电子科技有限公司,仓库管理员,https://jobs.51job.com/baoding/103700536.html?s=01&t=0,38.905403,115.455604,2.5-4千/月,
保定市北市区金圣达美容美发用品商行,仓库管理员(职位编号：17),https://jobs.51job.com/baoding/97787916.html?s=01&t=0,38.865279,115.486672,3-4.5千/月,北市区建华大街744号 公安局南院3号商业楼
保定市北市区金圣达美容美发用品商行,仓库管理员(职位编号：18),https://jobs.51job.com/baoding/97787929.html?s=01&t=0,38.865279,115.486672,3-4.5千/月,北市区建华大街744号 公安局南院3号商业楼
保定市北市区金圣达美容美发用品商行,仓库管理员(职位编号：19),https://jobs.51job.com/baoding/97787946.html?s=01&t=0,38.865279,115.486672,3-4.5千/月,
保定市和翔商贸有限公司,内勤库管,https://jobs.51job.com/baoding/78435653.html?s=01&t=0,38.880055,115.471052,3-4.5千/月,
保定市华联化工有限责任公司,仓库管理员,https://jobs.51job.com/baoding/110206108.html?s=01&t=0,38.854358,115.470735,,河北省保定市莲池区建国路保石立交桥北
保定市汇沃汽车销售有限公司,仓库管理员,https://jobs.51job.com/baoding/103332619.html?s=01&t=0, , ,3-5千/月,七一东路和东二环交叉口西行300米路北（新东方凤凰城对面）
保定市景昌机电有限公司,库房管理员,https://jobs.51job.com/baoding/101511621.html?s=01&t=0,,,3-4千/月,保定市三丰路与利民路交叉口西南角景昌机电
保定市凯元利通商贸有限公司,仓库主管,https://jobs.51job.com/cangzhou/110414384.html?s=01&t=0,38.734679,116.023031,,任丘市青塔乡
保定市全勇商贸有限公司,仓库理货员,https://jobs.51job.com/baoding/104390675.html?s=01&t=0,,,3.5-4千/月,北2环索利建材
保定市裕升建筑安装股份有限公司,仓库管理员,https://jobs.51job.com/baoding/106242264.html?s=01&t=0,38.918152,115.556476,2-3千/月,北市区长城北大街与北三环交叉口西行200米
保定市元健医疗器械销售有限公司,送货员,https://jobs.51job.com/baoding/103918392.html?s=01&t=0,38.90332,115.480858,2-3千/月,
保定轩宇汽车集团有限公司,,https://jobs.51job.com/baoding/59560142.html?s=01&t=0,38.913773,115.476136,,
保定轩宇汽车集团有限公司,配件库管员,https://jobs.51job.com/baoding/59560142.html?s=01&t=0,38.913773,115.476136,3-6千/月,保定市高开区朝阳北大街1299号
保定阳光隆安工贸有限公司,仓库管理员,https://jobs.51job.com/baoding/97850944.html?s=01&t=0,38.878604,115.30727,2-3千/月,
保定伊和生物科技有限责任公司,保管,https://jobs.51job.com/baoding/85613914.html?s=01&t=0,38.842439,115.612219,3-6千/月,
保定伊和生物科技有限责任公司,配送员,https://jobs.51job.com/baoding/109302803.html?s=01&t=0,38.842439,115.612219,,清苑区保新路
保定英利水牛物流有限公司,物流调度,https://jobs.51job.com/baoding/108162657.html?s=01&t=0,38.934809,115.480441,,朝阳北大街3399号英利三期总部
保定英利水牛物流有限公司,运输调度,https://jobs.51job.com/baoding/108235711.html?s=01&t=0,38.934809,115.480441,,朝阳北大街3399号英利三期总部
保定振东商贸有限公司,仓库记账员,https://jobs.51job.com/baoding/106977928.html?s=01&t=0,,,3-5千/月,北市区秀兰尚城南门西侧底商国诚基金
北京奥普科星技术有限公司,仓库管理员,https://jobs.51job.com/xingtai/105943216.html?s=01&t=0,,,3-4.5千/月,河北省邢台市威县经济开发区嘉寓产业园5号
北京百灵威科技有限公司,库房理货员/打包员,https://jobs.51job.com/beijing-tzq/95985192.html?s=01&t=0,39.93201,116.788715,3-4.5千/月,
北京百维博锐贸易有限公司,仓库管理员（张家口百盛）,https://jobs.51job.com/zhangjiakou/110296946.html?s=01&t=0,40.822866,114.893307,,桥东区滨河中路2号张家口百盛1F
北京北通四海电子商务有限公司,仓库文员,https://jobs.51job.com/langfang/107910695.html?s=01&t=0,39.51751,116.652098,2-3千/月,廊坊广阳区光明西道268号
北京博润佳科技有限公司,,https://jobs.51job.com/cangzhou/103152952.html?s=01&t=0,38.418722,117.313031,,
北京德青源农业科技股份有限公司,仓库管理员,https://jobs.51job.com/langfang/105298348.html?s=01&t=0,,,3-4.5千/月,百合路与一纬道交口京永物流院内
北京顶通物流有限公司,,https://jobs.51job.com/shijiazhuang/103300696.html?s=01&t=0,38.091749,114.320598,,
北京顶通物流有限公司,仓管,https://jobs.51job.com/shijiazhuang/100336989.html?s=01&t=0,38.091749,114.320598,3-4.5千/月,鹿泉区
北京顶通物流有限公司,仓库管理员,https://jobs.51job.com/cangzhou/108478632.html?s=01&t=0,,,,新华区北外环石油北库西侧
北京顶通物流有限公司,仓库理货员,https://jobs.51job.com/shijiazhuang/103300696.html?s=01&t=0,38.091749,114.320598,3-4.5千/月,鹿泉区
北京东方蓝地服装股份有限公司,仓储主管,https://jobs.51job.com/beijing-cyq/107356065.html?s=01&t=0,39.897591,116.462571,0.8-1.5万/月,朝阳区垂杨柳中街4号院
北京东方雨虹防水技术股份有限公司,,https://jobs.51job.com/tangshan/92745182.html?s=01&t=0,39.284608,118.08823,,
北京东阳西友展览服务有限责任公司,库房管理员（唐山）,https://jobs.51job.com/tangshan/106164369.html?s=01&t=0,39.532404,118.10448,2.5-5千/月,唐山市丰南开发区
北京分公司7,仓储运营经理,https://jobs.51job.com/tianjin-bcq/108146867.html?s=01&t=0,,,,交通集团城市物流配送中心美菜网仓库
北京格雷泰科建筑技术有限公司,生产经理助理,https://jobs.51job.com/cangzhou/100928975.html?s=01&t=0,,,3-4.5千/月,沧州经济技术开发区九河东路43号
北京格瑞德曼仪器设备有限公司 ,库管（急）,https://jobs.51job.com/beijing-cpq/73737623.html?s=01&t=0,40.072319,116.355366,4-6千/月,
北京格瑞德曼仪器设备有限公司,库管（急）,https://jobs.51job.com/beijing-cpq/73737623.html?s=01&t=0,40.072319,116.355366,4-6千/月,北京市昌平区回龙观镇黄平路19号院（龙旗广场）
北京航星机器制造有限公司航星宏达分公司,搬运工,https://jobs.51job.com/yanjiao/107156345.html?s=01&t=0,39.977372,116.859692,6-8千/月,燕郊镇福成路413号
