,公司,岗位,薪资,地址,经度,纬度,URL,low,hight,mean,区域
1,北京神鹰国际货运有限公司,叉车工,3.5-6千/月,天竺综合保税区,116.57407,40.087475,https://jobs.51job.com/beijing-syq/90274035.html?s=01&t=0,3.5,6.0,4.75,顺义区
3,北京安安酒店管理有限公司,急招快递员10000包食宿,0.8-1万/月,北京丰台区,116.292404,39.864938,https://jobs.51job.com/beijing-ftq/109892209.html?s=01&t=0,8.0,10.0,9.0,丰台区
4,顺峰饮食酒店管理股份有限公司,仓库主管,3.5-3.8千/月,朝阳区,116.449562,39.926373,https://jobs.51job.com/beijing-cyq/79544532.html?s=01&t=0,3.5,3.8,3.65,朝阳区
6,北京康仁堂药业有限公司,仓库主管,4-5千/月,牛栏山工业区牛汇街5号,116.640608,40.229272,https://jobs.51job.com/beijing-syq/109910457.html?s=01&t=0,4.0,5.0,4.5,顺义区
7,北京天开创新技术有限公司,仓库主管,4.5-6千/月,北京市海淀区上地信息路1号国际创业园2号楼2004,116.312709,40.052638,https://jobs.51job.com/beijing-hdq/109902025.html?s=01&t=0,4.5,6.0,5.25,海淀区
8,北京大华无线电仪器有限责任公司,仓库主管,0.8-1.2万/月,安宁庄东路18号光华创业园,116.338531,40.048657,https://jobs.51job.com/beijing-hdq/109476772.html?s=01&t=0,8.0,12.0,10.0,海淀区
11,北京罗斯德尔过滤器有限公司,仓库主管,4.5-6.5千/月,亦庄经济开发区东区科创二街4号,116.537518,39.822137,https://jobs.51job.com/beijing-dxq/109036472.html?s=01&t=0,4.5,6.5,5.5,大兴区
13,北京维兴商贸有限公司,后勤,5-6.5千/月,建国门内大街18号恒基中心,116.434771,39.913034,https://jobs.51job.com/beijing-cyq/107453691.html?s=01&t=0,5.0,6.5,5.75,朝阳区
14,北京格林丰业医疗器械有限公司,仓库主管,4.5-6千/月,北京市朝阳区管庄路1号燕京药业科研楼东侧铁门4楼,116.597559,39.925107,https://jobs.51job.com/beijing-cyq/103379198.html?s=01&t=0,4.5,6.0,5.25,朝阳区
16,北京瑞驰合众汽车租赁服务股份有限公司,仓库主管,4.5-6千/月,学院南路,116.329964,39.96255,https://jobs.51job.com/beijing-hdq/79736743.html?s=01&t=0,4.5,6.0,5.25,海淀区
17,原滋味（北京）食品有限公司,物流专员,4.5-6千/月,双井桥南 顺迈金钻国际商务中心6层6E,116.468897,39.893058,https://jobs.51job.com/beijing-cyq/109890934.html?s=01&t=0,4.5,6.0,5.25,朝阳区
18,上海蒸皓电子科技有限公司,仓库主管,4.5-6千/月,北京-朝阳区,116.44974,39.926391,https://jobs.51job.com/beijing-cyq/109882431.html?s=01&t=0,4.5,6.0,5.25,朝阳区
19,北京空港北光仪表有限公司,仓库主管,4-6千/月,空港工业区A区天柱西路甲7号,116.552811,39.941933,https://jobs.51job.com/beijing-syq/109881524.html?s=01&t=0,4.0,6.0,5.0,顺义区
