j,i,lat,long,counts,address,township,towncode
0,0,39.60652974470831,116.00822094304189,22.0,北京市房山区石楼镇岳琉路,石楼镇,110111104000
0,1,39.60652974470831,116.0242161311217,16.0,北京市房山区琉璃河镇老洄城,琉璃河镇,110111010000
0,2,39.60652974470831,116.04021131920149,288.0,北京市房山区琉璃河镇琉璃河客运站,琉璃河镇,110111010000
0,3,39.60652974470831,116.0562065072813,34.0,北京市房山区琉璃河镇北京琉璃河天香牡丹园,琉璃河镇,110111010000
0,5,39.60652974470831,116.0881968834409,31.0,北京市房山区琉璃河镇立路路,琉璃河镇,110111010000
0,6,39.60652974470831,116.10419207152069,6.0,北京市房山区琉璃河镇立西路,琉璃河镇,110111010000
0,7,39.60652974470831,116.1201872596005,9.0,北京市房山区琉璃河镇琉陶路,琉璃河镇,110111010000
0,8,39.60652974470831,116.1361824476803,18.0,北京市房山区琉璃河镇琉陶路,琉璃河镇,110111010000
0,9,39.60652974470831,116.1521776357601,3.0,北京市房山区琉璃河镇琉陶路,琉璃河镇,110111010000
0,10,39.60652974470831,116.16817282383991,56.0,北京市房山区琉璃河镇琉陶路,琉璃河镇,110111010000
0,11,39.60652974470831,116.1841680119197,4.0,北京市房山区琉璃河镇鲍庄路,琉璃河镇,110111010000
0,12,39.60652974470831,116.20016319999951,5.0,北京市房山区琉璃河镇公韩路,琉璃河镇,110111010000
0,14,39.60652974470831,116.2321535761591,1.0,北京市大兴区庞各庄镇福永路,庞各庄镇,110115108000
0,15,39.60652974470831,116.24814876423889,12.0,北京市大兴区庞各庄镇西韩路,庞各庄镇,110115108000
0,17,39.60652974470831,116.28013914039849,5.0,北京市大兴区庞各庄镇金谷盛海葡萄采摘园,庞各庄镇,110115108000
0,19,39.60652974470831,116.31212951655809,11.0,北京市大兴区庞各庄镇薛福路,庞各庄镇,110115108000
0,20,39.60652974470831,116.3281247046379,8.0,北京市大兴区庞各庄镇中国石油加油站(薛北路),庞各庄镇,110115108000
0,21,39.60652974470831,116.34411989271769,13.0,北京市大兴区庞各庄镇薛北路,庞各庄镇,110115108000
0,22,39.60652974470831,116.3601150807975,13.0,北京市大兴区庞各庄镇薛北路,庞各庄镇,110115108000
0,23,39.60652974470831,116.37611026887728,8.0,北京市大兴区魏善庄镇北京城市排水集团庞各庄转运站,魏善庄镇,110115110000
0,27,39.60652974470831,116.44009102119651,8.0,北京市大兴区安定镇后马路,安定镇,110115105000
0,29,39.60652974470831,116.4720813973561,6.0,北京市大兴区安定镇G3京台高速,安定镇,110115105000
0,31,39.60652974470831,116.5040717735157,4.0,北京市大兴区安定镇黄徐路,安定镇,110115105000
0,34,39.60652974470831,116.55205733775509,8.0,北京市大兴区安定镇徐于路,安定镇,110115105000
0,43,39.60652974470831,116.6960140304733,7.0,北京市大兴区采育镇凤华路,采育镇,110115104000
0,44,39.60652974470831,116.7120092185531,3.0,河北省廊坊市广阳区廊坊经济技术开发区富华街,廊坊经济技术开发区,131003450000
0,49,39.60652974470831,116.79198515895209,10.0,河北省廊坊市广阳区廊坊经济技术开发区凤河,廊坊经济技术开发区,131003450000
1,2,39.619528628498315,116.04021131920149,291.0,北京市房山区琉璃河镇滨水雅园小区,琉璃河镇,110111010000
1,3,39.619528628498315,116.0562065072813,27.0,北京市房山区琉璃河镇董家林路,琉璃河镇,110111010000
1,4,39.619528628498315,116.07220169536109,38.0,北京市房山区琉璃河镇董家林路,琉璃河镇,110111010000
1,5,39.619528628498315,116.0881968834409,8.0,北京市房山区琉璃河镇立路路,琉璃河镇,110111010000
1,7,39.619528628498315,116.1201872596005,5.0,北京市房山区琉璃河镇鱼池路,琉璃河镇,110111010000
1,8,39.619528628498315,116.1361824476803,5.0,北京市房山区琉璃河镇西地村路,琉璃河镇,110111010000
1,9,39.619528628498315,116.1521776357601,8.0,北京市房山区琉璃河镇西地村路,琉璃河镇,110111010000
1,10,39.619528628498315,116.16817282383991,1.0,北京市房山区窦店镇北京荣盛集装箱生产基地,窦店镇,110111103000
1,11,39.619528628498315,116.1841680119197,3.0,北京市房山区琉璃河镇肖常路,琉璃河镇,110111010000
1,12,39.619528628498315,116.20016319999951,4.0,北京市房山区琉璃河镇北京瑞雪环球房山基地,琉璃河镇,110111010000
1,13,39.619528628498315,116.2161583880793,27.0,北京市房山区琉璃河镇北京金帝国际高尔夫俱乐部,琉璃河镇,110111010000
1,15,39.619528628498315,116.24814876423889,1.0,北京市大兴区庞各庄镇西韩路,庞各庄镇,110115108000
1,17,39.619528628498315,116.28013914039849,20.0,北京市大兴区庞各庄镇芦求路,庞各庄镇,110115108000
1,19,39.619528628498315,116.31212951655809,120.0,北京市大兴区庞各庄镇于记镶牙馆,庞各庄镇,110115108000
1,20,39.619528628498315,116.3281247046379,153.0,北京市大兴区庞各庄镇庞安路,庞各庄镇,110115108000
1,21,39.619528628498315,116.34411989271769,49.0,北京市大兴区庞各庄镇东宋路庞各庄镇庆国小学,庞各庄镇,110115108000
1,22,39.619528628498315,116.3601150807975,10.0,北京市大兴区庞各庄镇庞安路,庞各庄镇,110115108000
1,23,39.619528628498315,116.37611026887728,3.0,北京市大兴区庞各庄镇庞安路,庞各庄镇,110115108000
1,24,39.619528628498315,116.3921054569571,53.0,北京市大兴区魏善庄镇北京恒则元牧业有限公司,魏善庄镇,110115110000
1,25,39.619528628498315,116.4081006450369,38.0,北京市大兴区魏善庄镇庞安路,魏善庄镇,110115110000
1,26,39.619528628498315,116.4240958331167,27.0,北京市大兴区魏善庄镇东李路,魏善庄镇,110115110000
1,27,39.619528628498315,116.44009102119651,25.0,北京市大兴区魏善庄镇刘家场村,魏善庄镇,110115110000
1,28,39.619528628498315,116.4560862092763,3.0,北京市大兴区安定镇杜马路,安定镇,110115105000
1,30,39.619528628498315,116.48807658543589,2.0,北京市大兴区安定镇黄徐路,安定镇,110115105000
1,31,39.619528628498315,116.5040717735157,336.0,北京市大兴区安定镇善台子村,安定镇,110115105000
1,32,39.619528628498315,116.52006696159549,5.0,北京市大兴区安定镇北京华腾化工有限公司,安定镇,110115105000
1,33,39.619528628498315,116.5360621496753,3.0,北京市大兴区安定镇高徐路,安定镇,110115105000
1,39,39.619528628498315,116.6320332781541,3.0,北京市大兴区采育镇韩营街,采育镇,110115104000
1,41,39.619528628498315,116.6640236543137,3.0,北京市大兴区采育镇凤韩路,采育镇,110115104000
1,42,39.619528628498315,116.68001884239351,6.0,北京市大兴区采育镇福东街,采育镇,110115104000
1,43,39.619528628498315,116.6960140304733,9.0,北京市大兴区采育镇觅凤路,采育镇,110115104000
1,44,39.619528628498315,116.7120092185531,4.0,北京市大兴区采育镇金源街,采育镇,110115104000
1,49,39.619528628498315,116.79198515895209,1.0,北京市通州区永乐店镇老孔兴路,永乐店镇,110112117000
2,0,39.632527512288334,116.00822094304189,135.0,北京市房山区石楼镇万亩方路,石楼镇,110111104000
2,1,39.632527512288334,116.0242161311217,1.0,北京市房山区窦店镇西沙地,窦店镇,110111103000
2,3,39.632527512288334,116.0562065072813,100.0,北京市房山区窦店镇白草洼路现代管理大学,窦店镇,110111103000
2,4,39.632527512288334,116.07220169536109,26.0,北京市房山区琉璃河镇北京格瑞拓普生物科技有限公司,琉璃河镇,110111010000
2,6,39.632527512288334,116.10419207152069,1.0,北京市房山区窦店镇窦乐垂钓休闲农场,窦店镇,110111103000
2,7,39.632527512288334,116.1201872596005,5.0,北京市房山区窦店镇电交路,窦店镇,110111103000
2,9,39.632527512288334,116.1521776357601,18.0,北京市房山区窦店镇良常路,窦店镇,110111103000
2,13,39.632527512288334,116.2161583880793,7.0,北京市房山区琉璃河镇永定河森林牧场越野公园,琉璃河镇,110111010000
2,15,39.632527512288334,116.24814876423889,6.0,北京市大兴区庞各庄镇西韩路,庞各庄镇,110115108000
2,16,39.632527512288334,116.2641439523187,1.0,北京市大兴区庞各庄镇庞北路,庞各庄镇,110115108000
2,17,39.632527512288334,116.28013914039849,5.0,北京市大兴区庞各庄镇武北路,庞各庄镇,110115108000
2,18,39.632527512288334,116.2961343284783,2.0,北京市大兴区庞各庄镇隆景大街,庞各庄镇,110115108000
2,19,39.632527512288334,116.31212951655809,113.0,北京市大兴区庞各庄镇幸福路,庞各庄镇,110115108000
2,20,39.632527512288334,116.3281247046379,499.0,北京市大兴区庞各庄镇北京正兴丰兽药中心,庞各庄镇,110115108000
2,21,39.632527512288334,116.34411989271769,13.0,北京市大兴区庞各庄镇北李渠路,庞各庄镇,110115108000
2,22,39.632527512288334,116.3601150807975,6.0,北京市大兴区庞各庄镇四李路,庞各庄镇,110115108000
2,24,39.632527512288334,116.3921054569571,47.0,北京市大兴区魏善庄镇岳家务路,魏善庄镇,110115110000
2,25,39.632527512288334,116.4081006450369,20.0,北京市大兴区魏善庄镇东礼路,魏善庄镇,110115110000
2,26,39.632527512288334,116.4240958331167,11.0,北京市大兴区魏善庄镇研垡路74号,魏善庄镇,110115110000
2,27,39.632527512288334,116.44009102119651,25.0,北京市大兴区魏善庄镇李刘路,魏善庄镇,110115110000
2,29,39.632527512288334,116.4720813973561,1.0,北京市大兴区安定镇G3京台高速,安定镇,110115105000
2,30,39.632527512288334,116.48807658543589,7.0,北京市大兴区安定镇郑福庄街,安定镇,110115105000
2,31,39.632527512288334,116.5040717735157,10.0,北京市大兴区安定镇郑前路,安定镇,110115105000
2,32,39.632527512288334,116.52006696159549,2.0,北京市大兴区安定镇京武超市,安定镇,110115105000
2,33,39.632527512288334,116.5360621496753,25.0,北京市大兴区安定镇郑前路,安定镇,110115105000
2,34,39.632527512288334,116.55205733775509,2.0,北京市大兴区安定镇后于路,安定镇,110115105000
2,36,39.632527512288334,116.58404771391469,2.0,北京市大兴区长子营镇马朱路,长子营镇,110115111000
2,37,39.632527512288334,116.6000429019945,1.0,北京市大兴区长子营镇西北台后街,长子营镇,110115111000
2,39,39.632527512288334,116.6320332781541,11.0,北京市大兴区采育镇G95首都环线高速,采育镇,110115104000
2,40,39.632527512288334,116.64802846623388,1.0,北京市大兴区采育镇百年葡萄采摘园,采育镇,110115104000
2,41,39.632527512288334,116.6640236543137,13.0,北京市大兴区采育镇辛庄营村,采育镇,110115104000
2,44,39.632527512288334,116.7120092185531,4.0,北京市大兴区采育镇凤德路,采育镇,110115104000
2,48,39.632527512288334,116.7759899708723,7.0,北京市通州区永乐店镇熬硝营路,永乐店镇,110112117000
2,49,39.632527512288334,116.79198515895209,10.0,北京市通州区永乐店镇觅三路,永乐店镇,110112117000
3,2,39.64552639607834,116.04021131920149,53.0,北京市房山区窦店镇窦芦路,窦店镇,110111103000
3,3,39.64552639607834,116.0562065072813,19.0,北京市房山区窦店镇板桥路,窦店镇,110111103000
3,4,39.64552639607834,116.07220169536109,510.0,北京市房山区窦店镇京南嘉园,窦店镇,110111103000
3,5,39.64552639607834,116.0881968834409,7.0,北京市房山区窦店镇北京环美绿源苗木公司,窦店镇,110111103000
3,7,39.64552639607834,116.1201872596005,46.0,北京市房山区窦店镇北京市房山区窦店镇社会福利中心,窦店镇,110111103000
3,9,39.64552639607834,116.1521776357601,21.0,北京市房山区窦店镇良常路,窦店镇,110111103000
3,10,39.64552639607834,116.16817282383991,22.0,北京市房山区窦店镇良前路,窦店镇,110111103000
3,13,39.64552639607834,116.2161583880793,9.0,北京市房山区思格森高尔夫俱乐部,[],[]
3,15,39.64552639607834,116.24814876423889,98.0,北京市大兴区北臧村镇西韩路,北臧村镇,110115109000
3,16,39.64552639607834,116.2641439523187,1.0,北京市大兴区北臧村镇马北路,北臧村镇,110115109000
3,17,39.64552639607834,116.28013914039849,18.0,北京市大兴区北臧村镇武北路,北臧村镇,110115109000
3,18,39.64552639607834,116.2961343284783,3.0,北京市大兴区北臧村镇芦求路,北臧村镇,110115109000
3,19,39.64552639607834,116.31212951655809,8.0,北京市大兴区庞各庄镇西中堡路,庞各庄镇,110115108000
3,20,39.64552639607834,116.3281247046379,212.0,北京市大兴区庞各庄镇东中堡村,庞各庄镇,110115108000
3,21,39.64552639607834,116.34411989271769,3.0,北京市大兴区庞各庄镇汇林南街,庞各庄镇,110115108000
3,22,39.64552639607834,116.3601150807975,20.0,北京市大兴区天宫院街道正旺巷,天宫院街道,110115010000
3,23,39.64552639607834,116.37611026887728,3.0,北京市大兴区魏善庄镇西刘路,魏善庄镇,110115110000
3,24,39.64552639607834,116.3921054569571,40.0,北京市大兴区魏善庄镇西刘路,魏善庄镇,110115110000
3,25,39.64552639607834,116.4081006450369,9.0,北京市大兴区魏善庄镇共产党员路,魏善庄镇,110115110000
3,26,39.64552639607834,116.4240958331167,135.0,北京市大兴区魏善庄镇北京福发汽车服务中心,魏善庄镇,110115110000
3,27,39.64552639607834,116.44009102119651,2.0,北京市大兴区魏善庄镇南兴街,魏善庄镇,110115110000
3,29,39.64552639607834,116.4720813973561,28.0,北京市大兴区魏善庄镇高河路,魏善庄镇,110115110000
3,30,39.64552639607834,116.48807658543589,2.0,北京市大兴区安定镇后堡路,安定镇,110115105000
3,31,39.64552639607834,116.5040717735157,58.0,北京市大兴区安定镇后前路,安定镇,110115105000
3,32,39.64552639607834,116.52006696159549,17.0,北京市大兴区安定镇沙河南路,安定镇,110115105000
3,33,39.64552639607834,116.5360621496753,1.0,北京市大兴区安定镇沙河南路,安定镇,110115105000
3,34,39.64552639607834,116.55205733775509,1.0,北京市大兴区安定镇后于北路,安定镇,110115105000
3,37,39.64552639607834,116.6000429019945,81.0,北京市大兴区长子营镇朱庄路,长子营镇,110115111000
3,38,39.64552639607834,116.61603809007428,6.0,北京市大兴区采育镇京福路,采育镇,110115104000
3,40,39.64552639607834,116.64802846623388,1.0,北京市大兴区采育镇G95首都环线高速,采育镇,110115104000
3,41,39.64552639607834,116.6640236543137,13.0,北京市大兴区采育镇育英街北京汽车技师学院,采育镇,110115104000
3,42,39.64552639607834,116.68001884239351,5.0,北京市大兴区采育镇采业路,采育镇,110115104000
3,43,39.64552639607834,116.6960140304733,86.0,北京市大兴区采育镇兴旺路,采育镇,110115104000
3,45,39.64552639607834,116.72800440663289,1.0,北京市通州区于家务回族乡张凤路,于家务回族乡,110112209000
3,47,39.64552639607834,116.75999478279249,21.0,北京市通州区永乐店镇胡村路,永乐店镇,110112117000
3,48,39.64552639607834,116.7759899708723,23.0,北京市通州区永乐店镇凤德路,永乐店镇,110112117000
3,49,39.64552639607834,116.79198515895209,1.0,北京市通州区永乐店镇447乡道,永乐店镇,110112117000
4,0,39.65852527986836,116.00822094304189,17.0,北京市房山区石楼镇G5京昆高速,石楼镇,110111104000
4,2,39.65852527986836,116.04021131920149,4.0,北京市房山区石楼镇梨园店路,石楼镇,110111104000
4,3,39.65852527986836,116.0562065072813,4.0,北京市房山区窦店镇田家园鱼池,窦店镇,110111103000
4,4,39.65852527986836,116.07220169536109,1475.0,北京市房山区窦店镇燕都园世界名园,窦店镇,110111103000
4,5,39.65852527986836,116.0881968834409,67.0,北京市房山区窦店镇卓越昌泰建设有限公司,窦店镇,110111103000
4,6,39.65852527986836,116.10419207152069,10.0,北京市房山区窦店镇紫窦路,窦店镇,110111103000
4,7,39.65852527986836,116.1201872596005,84.0,北京市房山区窦店镇智怡嘉园,窦店镇,110111103000
4,8,39.65852527986836,116.1361824476803,3.0,北京市房山区良乡镇北京昱民康畜牧科技发展有限公司,良乡镇,110111008000
4,10,39.65852527986836,116.16817282383991,14.0,北京市房山区窦店镇北京大运卓宸信鸽文化发展中心,窦店镇,110111103000
4,11,39.65852527986836,116.1841680119197,10.0,北京市房山区长阳镇长水园艺农场(长阳店),长阳镇,110111105000
4,12,39.65852527986836,116.20016319999951,7.0,北京市房山区长阳镇赵公路,长阳镇,110111105000
4,13,39.65852527986836,116.2161583880793,5.0,北京市房山区长阳镇右堤路,长阳镇,110111105000
4,15,39.65852527986836,116.24814876423889,21.0,北京市大兴区北臧村镇五庄路,北臧村镇,110115109000
4,16,39.65852527986836,116.2641439523187,1.0,北京市大兴区北臧村镇马北路,北臧村镇,110115109000
4,17,39.65852527986836,116.28013914039849,106.0,北京市大兴区北臧村镇特维轮库房,北臧村镇,110115109000
4,18,39.65852527986836,116.2961343284783,39.0,北京市大兴区北臧村镇芦求路,北臧村镇,110115109000
4,19,39.65852527986836,116.31212951655809,1.0,北京市大兴区北臧村镇大藏村路,北臧村镇,110115109000
4,20,39.65852527986836,116.3281247046379,6.0,北京市大兴区天宫院街道西庄路,天宫院街道,110115010000
4,21,39.65852527986836,116.34411989271769,3.0,北京市大兴区黄村镇西庄路18号,黄村镇,110115005000
4,23,39.65852527986836,116.37611026887728,31.0,北京市大兴区魏善庄镇天东路,魏善庄镇,110115110000
4,24,39.65852527986836,116.3921054569571,10.0,北京市大兴区魏善庄镇兴东路,魏善庄镇,110115110000
4,25,39.65852527986836,116.4081006450369,6.0,北京市大兴区魏善庄镇连接线,魏善庄镇,110115110000
4,26,39.65852527986836,116.4240958331167,6174.0,北京市大兴区魏善庄镇黄徐路,魏善庄镇,110115110000
4,27,39.65852527986836,116.44009102119651,12.0,北京市大兴区魏善庄镇王查路,魏善庄镇,110115110000
4,28,39.65852527986836,116.4560862092763,1.0,北京市大兴区魏善庄镇G3京台高速,魏善庄镇,110115110000
4,29,39.65852527986836,116.4720813973561,2.0,北京市大兴区魏善庄镇高河路,魏善庄镇,110115110000
4,30,39.65852527986836,116.48807658543589,7.0,北京市大兴区安定镇刘家场路,安定镇,110115105000
4,31,39.65852527986836,116.5040717735157,11.0,北京市大兴区安定镇青礼路,安定镇,110115105000
4,33,39.65852527986836,116.5360621496753,9.0,北京市大兴区青云店镇西鲍辛庄村委会,青云店镇,110115103000
4,35,39.65852527986836,116.5680525258349,5.0,北京市大兴区长子营镇朱李路,长子营镇,110115111000
4,36,39.65852527986836,116.58404771391469,9.0,北京市大兴区长子营镇长周路,长子营镇,110115111000
4,37,39.65852527986836,116.6000429019945,1.0,北京市大兴区长子营镇北泗路,长子营镇,110115111000
4,39,39.65852527986836,116.6320332781541,104.0,北京市大兴区采育镇育新花园西里,采育镇,110115104000
4,40,39.65852527986836,116.64802846623388,52.0,北京市大兴区采育镇三支路,采育镇,110115104000
4,41,39.65852527986836,116.6640236543137,192.0,北京市大兴区采育镇采南路,采育镇,110115104000
4,42,39.65852527986836,116.68001884239351,459.0,北京市大兴区采育镇采林路,采育镇,110115104000
4,44,39.65852527986836,116.7120092185531,3.0,北京市通州区于家务回族乡吴寺路,于家务回族乡,110112209000
4,45,39.65852527986836,116.72800440663289,4.0,北京市通州区于家务回族乡张凤路,于家务回族乡,110112209000
