始发站,终点站,货物,日期,网址
北京房山,四川德阳,拖重货,2018-10-11,http://www.56135.com/huoyuan/I9433173.html
北京大兴,黑龙江大庆肇源,水稻,2018-10-11,http://www.56135.com/huoyuan/I9433101.html
北京大兴,辽宁盘锦,水稻,2018-10-11,http://www.56135.com/huoyuan/I9433099.html
北京大兴,黑龙江绥化海伦,水稻,2018-10-11,http://www.56135.com/huoyuan/I9433087.html
北京通州,河北唐山玉田,剪切料,2018-10-11,http://www.56135.com/huoyuan/I9432736.html
北京,广东东莞,普货,2018-10-11,http://www.56135.com/huoyuan/I9432733.html
北京,广东深圳,普货,2018-10-11,http://www.56135.com/huoyuan/I9432731.html
北京,广东广州,普货,2018-10-11,http://www.56135.com/huoyuan/I9432554.html
北京,湖南长沙,普货,2018-10-11,http://www.56135.com/huoyuan/I9432553.html
北京,云南昆明,普货,2018-10-11,http://www.56135.com/huoyuan/I9432552.html
北京,江西南昌,普货,2018-10-11,http://www.56135.com/huoyuan/I9432347.html
北京海淀,山东济宁邹城,配件,2018-10-11,http://www.56135.com/huoyuan/I9432288.html
北京,河北唐山,汽油,2018-10-11,http://www.56135.com/huoyuan/I9432162.html
北京,河北唐山曹妃甸,普货,2018-10-11,http://www.56135.com/huoyuan/I9432044.html
北京,辽宁盘锦,塔底料,2018-10-11,http://www.56135.com/huoyuan/I9432032.html
北京房山,河北承德宽城,破碎料,2018-10-11,http://www.56135.com/huoyuan/I9431962.html
北京怀柔,河北唐山迁安,小模板,2018-10-10,http://www.56135.com/huoyuan/I9431948.html
北京,河北唐山丰润,剪切料,2018-10-10,http://www.56135.com/huoyuan/I9431947.html
北京,上海,冷藏货,2018-10-11,http://www.56135.com/huoyuan/I9431920.html
北京,江苏南京,冷藏货,2018-10-11,http://www.56135.com/huoyuan/I9431919.html
北京,河南漯河,None,2018-10-11,http://www.56135.com/huoyuan/I9431651.html
北京大兴,黑龙江佳木斯汤原,水稻,2018-10-11,http://www.56135.com/huoyuan/I9431514.html
北京大兴,湖南衡阳常宁,重货,2018-10-11,http://www.56135.com/huoyuan/I9431371.html
北京顺义,河北廊坊广阳,普货,2018-10-11,http://www.56135.com/huoyuan/I9431261.html
北京,山东济宁曲阜,普货,2018-10-11,http://www.56135.com/huoyuan/I9431260.html
北京怀柔,河北邯郸,None,2018-10-11,http://www.56135.com/huoyuan/I9431101.html
北京通州,河北邯郸,None,2018-10-11,http://www.56135.com/huoyuan/I9431099.html
北京,云南昆明,None,2018-10-11,http://www.56135.com/huoyuan/I9431077.html
北京,山东东营广饶,催柴,2018-10-11,http://www.56135.com/huoyuan/I9430709.html
北京,甘肃兰州城关,百货,2018-10-12,http://www.56135.com/huoyuan/I9431362.html
北京顺义,辽宁沈阳,普货,2018-10-11,http://www.56135.com/huoyuan/I9430584.html
北京,辽宁沈阳,None,2018-10-11,http://www.56135.com/huoyuan/I9430275.html
北京,江苏南京,普货,2018-10-11,http://www.56135.com/huoyuan/I9430264.html
北京,广东广州,普货,2018-10-11,http://www.56135.com/huoyuan/I9430259.html
北京,湖南长沙,普货,2018-10-11,http://www.56135.com/huoyuan/I9430255.html
北京,云南昆明,普货,2018-10-11,http://www.56135.com/huoyuan/I9430251.html
北京,辽宁沈阳,普货,2018-10-11,http://www.56135.com/huoyuan/I9430250.html
北京,吉林长春,普货,2018-10-11,http://www.56135.com/huoyuan/I9430249.html
北京,广西南宁,普货,2018-10-11,http://www.56135.com/huoyuan/I9430239.html
北京,海南三亚,普货,2018-10-11,http://www.56135.com/huoyuan/I9430238.html
北京,海南海口,普货,2018-10-11,http://www.56135.com/huoyuan/I9430237.html
北京,广东深圳,普货,2018-10-11,http://www.56135.com/huoyuan/I9430236.html
北京,广东东莞,普货,2018-10-11,http://www.56135.com/huoyuan/I9430235.html
北京,广东广州,普货,2018-10-11,http://www.56135.com/huoyuan/I9430234.html
北京,广东东莞,普货,2018-10-11,http://www.56135.com/huoyuan/I9430071.html
北京,内蒙古通辽,普货,2018-10-11,http://www.56135.com/huoyuan/I9430070.html
北京,四川成都,普货,2018-10-11,http://www.56135.com/huoyuan/I9430069.html
北京,陕西西安,普货,2018-10-11,http://www.56135.com/huoyuan/I9430068.html
北京,广东广州,普货,2018-10-11,http://www.56135.com/huoyuan/I9430007.html
北京房山,山西临汾,普货,2018-10-11,http://www.56135.com/huoyuan/I9429950.html
北京,黑龙江哈尔滨,普货,2018-10-11,http://www.56135.com/huoyuan/I9429946.html
北京大兴,江苏连云港东海,None,2018-10-11,http://www.56135.com/huoyuan/I9429866.html
北京昌平,河北唐山玉田,剪切料,2018-10-11,http://www.56135.com/huoyuan/I9429622.html
北京通州,内蒙古乌兰察布集宁,普货,2018-10-11,http://www.56135.com/huoyuan/I9429621.html
北京通州,内蒙古呼和浩特,普货,2018-10-11,http://www.56135.com/huoyuan/I9429620.html
北京,河北唐山,剪切料,2018-10-11,http://www.56135.com/huoyuan/I9429617.html
北京,山东东营广饶,普货,2018-10-11,http://www.56135.com/huoyuan/I9429616.html
北京,山东烟台龙口,普货,2018-10-11,http://www.56135.com/huoyuan/I9429101.html
北京顺义,山东潍坊,None,2018-10-11,http://www.56135.com/huoyuan/I9429088.html
北京,山西太原,None,2018-10-11,http://www.56135.com/huoyuan/I9429087.html
北京平谷,河北唐山玉田,剪切料,2018-10-11,http://www.56135.com/huoyuan/I9429024.html
北京顺义,广东江门开平,剪切料,2018-10-11,http://www.56135.com/huoyuan/I9428865.html
北京大兴,湖南长沙,None,2018-10-11,http://www.56135.com/huoyuan/I9425555.html
北京顺义,湖南长沙,None,2018-10-11,http://www.56135.com/huoyuan/I9425553.html
北京大兴,河北张家口,白面,2018-10-11,http://www.56135.com/huoyuan/I9425179.html
北京,广东广州,普货,2018-10-11,http://www.56135.com/huoyuan/I9416530.html
