辽宁营口鲅鱼圈 , 北京,白糖,2018/10/12,http://www.56135.com/huoyuan/I9444292.html
黑龙江绥化海伦 , 北京,飘货,2018/10/12,http://www.56135.com/huoyuan/I9444211.html
浙江宁波 , 北京,冻品,2018/10/12,http://www.56135.com/huoyuan/I9444112.html
上海 , 北京,冻品,2018/10/12,http://www.56135.com/huoyuan/I9444110.html
广东深圳 , 北京,火龙果,2018/10/12,http://www.56135.com/huoyuan/I9444108.html
内蒙古鄂尔多斯杭锦旗 , 北京,石脑油,2018/10/12,http://www.56135.com/huoyuan/I9444079.html
天津津南 , 北京延庆,普货,2018/10/12,http://www.56135.com/huoyuan/I9443958.html
浙江宁波余姚 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9443905.html
内蒙古锡林郭勒盟东乌珠穆沁旗 , 北京,大捆草,2018/10/12,http://www.56135.com/huoyuan/I9443814.html
河北唐山丰润 , 北京昌平,无,2018/10/12,http://www.56135.com/huoyuan/I9443770.html
广东江门开平 , 北京延庆,盘螺,2018/10/12,http://www.56135.com/huoyuan/I9443743.html
河北唐山玉田 , 北京延庆,盘螺,2018/10/12,http://www.56135.com/huoyuan/I9443742.html
山东济南 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9443550.html
黑龙江佳木斯桦川 , 北京,糠,2018/10/12,http://www.56135.com/huoyuan/I9443499.html
吉林长春宽城 , 北京房山,普货,2018/10/12,http://www.56135.com/huoyuan/I9443467.html
吉林四平公主岭 , 北京顺义,普货,2018/10/12,http://www.56135.com/huoyuan/I9443464.html
河北邢台 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9443397.html
河北邯郸 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9443390.html
河北邯郸 , 北京,肉,2018/10/12,http://www.56135.com/huoyuan/I9443183.html
北京房山 , 北京延庆,无,2018/10/12,http://www.56135.com/huoyuan/I9443019.html
河北保定 , 北京怀柔,无,2018/10/12,http://www.56135.com/huoyuan/I9443008.html
湖南常德石门 , 北京平谷,无,2018/10/12,http://www.56135.com/huoyuan/I9443006.html
湖南常德石门 , 北京密云,无,2018/10/12,http://www.56135.com/huoyuan/I9443005.html
河北保定 , 北京顺义,无,2018/10/12,http://www.56135.com/huoyuan/I9443003.html
湖南常德石门 , 北京通州,无,2018/10/12,http://www.56135.com/huoyuan/I9443001.html
湖南常德石门 , 北京昌平,无,2018/10/12,http://www.56135.com/huoyuan/I9443000.html
河北唐山滦县 , 北京平谷,无,2018/10/12,http://www.56135.com/huoyuan/I9442993.html
河北唐山丰润 , 北京延庆,无,2018/10/12,http://www.56135.com/huoyuan/I9442992.html
河北唐山丰南 , 北京顺义,无,2018/10/12,http://www.56135.com/huoyuan/I9442991.html
河北唐山滦县 , 北京延庆,无,2018/10/12,http://www.56135.com/huoyuan/I9442990.html
河北承德双滦 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9442989.html
河北唐山滦县 , 北京顺义,无,2018/10/12,http://www.56135.com/huoyuan/I9442987.html
湖南常德石门 , 北京怀柔,无,2018/10/12,http://www.56135.com/huoyuan/I9442986.html
湖南常德石门 , 北京顺义,无,2018/10/12,http://www.56135.com/huoyuan/I9442982.html
天津 , 北京延庆,无,2018/10/12,http://www.56135.com/huoyuan/I9442970.html
河北唐山玉田 , 北京,菜,2018/10/12,http://www.56135.com/huoyuan/I9442637.html
河北石家庄栾城 , 北京昌平,配件,2018/10/12,http://www.56135.com/huoyuan/I9442598.html
山东日照 , 北京昌平,配件,2018/10/12,http://www.56135.com/huoyuan/I9442597.html
湖南常德石门 , 北京平谷,无,2018/10/12,http://www.56135.com/huoyuan/I9442264.html
湖北黄冈罗田 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9442247.html
湖北黄冈麻城 , 北京通州,无,2018/10/12,http://www.56135.com/huoyuan/I9442246.html
河南南阳西峡 , 北京通州,无,2018/10/12,http://www.56135.com/huoyuan/I9442114.html
浙江杭州拱墅 , 北京昌平,无,2018/10/12,http://www.56135.com/huoyuan/I9441953.html
河南三门峡灵宝 , 北京昌平,无,2018/10/12,http://www.56135.com/huoyuan/I9441922.html
山西忻州宁武 , 北京昌平,无,2018/10/12,http://www.56135.com/huoyuan/I9441921.html
山西忻州原平 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9441920.html
浙江杭州拱墅 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9441907.html
山西忻州 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9441906.html
山西忻州 , 北京昌平,无,2018/10/12,http://www.56135.com/huoyuan/I9441905.html
湖南郴州永兴 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9441859.html
广西北海合浦 , 北京,豆角,2018/10/12,http://www.56135.com/huoyuan/I9441837.html
天津静海 , 北京丰台,普货,2018/10/12,http://www.56135.com/huoyuan/I9441809.html
河北承德双滦 , 北京通州,沙子,2018/10/12,http://www.56135.com/huoyuan/I9441761.html
河北承德双滦 , 北京,螺纹盘螺卷板,2018/10/12,http://www.56135.com/huoyuan/I9441752.html
河北承德滦平 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9441749.html
河北承德滦平 , 北京通州,普货,2018/10/12,http://www.56135.com/huoyuan/I9441734.html
河北承德滦平 , 北京昌平,石子,2018/10/12,http://www.56135.com/huoyuan/I9441732.html
河北承德宽城 , 北京密云,普货,2018/10/12,http://www.56135.com/huoyuan/I9441718.html
内蒙古呼伦贝尔海拉尔 , 北京平谷,草块,2018/10/12,http://www.56135.com/huoyuan/I9441707.html
河北承德双滦 , 北京延庆,废渣,2018/10/12,http://www.56135.com/huoyuan/I9441705.html
山西忻州宁武 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9441324.html
广东广州 , 北京,快递,2018/10/12,http://www.56135.com/huoyuan/I9441189.html
广西北海合浦 , 北京,豆角,2018/10/12,http://www.56135.com/huoyuan/I9441134.html
内蒙古鄂尔多斯杭锦旗 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9440821.html
内蒙古鄂尔多斯杭锦旗 , 北京,国五芳烃,2018/10/12,http://www.56135.com/huoyuan/I9440773.html
湖北孝感应城 , 北京房山,普货,2018/10/12,http://www.56135.com/huoyuan/I9440731.html
广东深圳 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9440653.html
湖南株洲 , 北京顺义,锌锭,2018/10/12,http://www.56135.com/huoyuan/I9440333.html
湖北孝感应城 , 北京延庆,普货,2018/10/12,http://www.56135.com/huoyuan/I9440329.html
河南驻马店泌阳 , 北京大兴,普货,2018/10/12,http://www.56135.com/huoyuan/I9440328.html
湖北武汉东西湖 , 北京大兴,普货,2018/10/12,http://www.56135.com/huoyuan/I9440324.html
湖北武汉东西湖 , 北京房山,普货,2018/10/12,http://www.56135.com/huoyuan/I9440316.html
湖北随州 , 北京大兴,普货,2018/10/12,http://www.56135.com/huoyuan/I9440276.html
湖北襄阳南漳 , 北京顺义,普货,2018/10/12,http://www.56135.com/huoyuan/I9440264.html
湖北襄阳枣阳 , 北京门头沟,普货,2018/10/12,http://www.56135.com/huoyuan/I9440262.html
湖北天门 , 北京大兴,普货,2018/10/12,http://www.56135.com/huoyuan/I9440260.html
河北唐山丰润 , 北京延庆,重货,2018/10/12,http://www.56135.com/huoyuan/I9440129.html
河北唐山迁安 , 北京房山,螺纹,2018/10/12,http://www.56135.com/huoyuan/I9440127.html
河北保定望都 , 北京怀柔,树苗,2018/10/12,http://www.56135.com/huoyuan/I9440121.html
河北唐山丰润 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9440115.html
辽宁大连金州 , 北京大兴,无,2018/10/12,http://www.56135.com/huoyuan/I9440114.html
吉林长春 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9440111.html
山西晋城高平 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9440085.html
天津静海 , 北京大兴,普货,2018/10/12,http://www.56135.com/huoyuan/I9440064.html
河北唐山古冶 , 北京,煤,2018/10/12,http://www.56135.com/huoyuan/I9439948.html
山西大同浑源 , 北京怀柔,煤,2018/10/12,http://www.56135.com/huoyuan/I9439907.html
山西大同浑源 , 北京昌平,煤,2018/10/12,http://www.56135.com/huoyuan/I9439906.html
山西朔州山阴 , 北京怀柔,煤,2018/10/12,http://www.56135.com/huoyuan/I9439904.html
山西朔州山阴 , 北京昌平,煤,2018/10/12,http://www.56135.com/huoyuan/I9439903.html
山西朔州山阴 , 北京密云,煤,2018/10/12,http://www.56135.com/huoyuan/I9439902.html
河北唐山丰润 , 北京海淀,普货,2018/10/12,http://www.56135.com/huoyuan/I9439827.html
天津滨海 , 北京大兴,箱装机油,2018/10/12,http://www.56135.com/huoyuan/I9439808.html
内蒙古鄂尔多斯杭锦旗 , 北京,石脑,2018/10/12,http://www.56135.com/huoyuan/I9439606.html
黑龙江绥化肇东 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9439427.html
山西忻州原平 , 北京朝阳,无,2018/10/12,http://www.56135.com/huoyuan/I9439412.html
山西大同天镇 , 北京大兴,重货,2018/10/12,http://www.56135.com/huoyuan/I9439272.html
山西忻州 , 北京延庆,普货,2018/10/12,http://www.56135.com/huoyuan/I9439270.html
天津东丽 , 北京延庆,钢管,2018/10/12,http://www.56135.com/huoyuan/I9439261.html
湖北孝感云梦 , 北京房山,普货,2018/10/12,http://www.56135.com/huoyuan/I9439206.html
湖北黄冈麻城 , 北京大兴,普货,2018/10/12,http://www.56135.com/huoyuan/I9439202.html
湖南株洲 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9439199.html
山西太原古交 , 北京昌平,树,2018/10/12,http://www.56135.com/huoyuan/I9439192.html
湖北黄冈麻城 , 北京通州,普货,2018/10/12,http://www.56135.com/huoyuan/I9439189.html
天津西青 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9439109.html
内蒙古鄂尔多斯杭锦旗 , 北京,石脑,2018/10/12,http://www.56135.com/huoyuan/I9438942.html
广东东莞 , 北京,【快递】,2018/10/12,http://www.56135.com/huoyuan/I9438825.html
辽宁盘锦 , 北京,汽油,2018/10/12,http://www.56135.com/huoyuan/I9438798.html
辽宁抚顺 , 北京,M,2018/10/12,http://www.56135.com/huoyuan/I9438796.html
河南驻马店泌阳 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9438777.html
吉林长春农安 , 北京房山,玉米,2018/10/12,http://www.56135.com/huoyuan/I9438754.html
黑龙江鸡西梨树 , 北京平谷,玉米,2018/10/12,http://www.56135.com/huoyuan/I9438715.html
河北唐山迁安 , 北京丰台,石子,2018/10/12,http://www.56135.com/huoyuan/I9438654.html
河北唐山迁安 , 北京大兴,螺纹,2018/10/12,http://www.56135.com/huoyuan/I9438624.html
河北唐山迁安 , 北京昌平,螺纹,2018/10/12,http://www.56135.com/huoyuan/I9438623.html
河北承德宽城 , 北京密云,无,2018/10/12,http://www.56135.com/huoyuan/I9438621.html
河北承德双滦 , 北京延庆,废渣,2018/10/12,http://www.56135.com/huoyuan/I9438618.html
河北唐山迁安 , 北京顺义,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438374.html
湖南常德石门 , 北京平谷,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438373.html
湖南常德石门 , 北京通州,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438372.html
湖南常德石门 , 北京怀柔,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438371.html
湖南常德石门 , 北京密云,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438370.html
湖南常德石门 , 北京顺义,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438369.html
河北唐山丰润 , 北京密云,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438368.html
河北唐山丰润 , 北京昌平,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438367.html
河北唐山丰润 , 北京延庆,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438366.html
河北唐山丰南 , 北京顺义,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438365.html
河北唐山滦县 , 北京延庆,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438364.html
河北唐山滦县 , 北京石景山,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438363.html
河北唐山滦县 , 北京通州,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438362.html
北京密云 , 北京延庆,打包砖,2018/10/12,http://www.56135.com/huoyuan/I9438361.html
河北唐山丰南 , 北京延庆,螺纹,2018/10/12,http://www.56135.com/huoyuan/I9438267.html
河南南阳镇平 , 北京延庆,花生米,2018/10/12,http://www.56135.com/huoyuan/I9439172.html
河南南阳 , 北京通州,树苗,2018/10/12,http://www.56135.com/huoyuan/I9438853.html
山东东营 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9438033.html
辽宁盘锦 , 北京,重整汽油,2018/10/12,http://www.56135.com/huoyuan/I9437903.html
河南周口扶沟 , 北京顺义,无,2018/10/12,http://www.56135.com/huoyuan/I9437841.html
四川资阳乐至 , 北京通州,无,2018/10/12,http://www.56135.com/huoyuan/I9437683.html
内蒙古鄂尔多斯杭锦旗 , 北京,石脑油,2018/10/12,http://www.56135.com/huoyuan/I9437548.html
辽宁盘锦 , 北京,重整汽油,2018/10/12,http://www.56135.com/huoyuan/I9437496.html
黑龙江齐齐哈尔克山 , 北京通州,普货,2018/10/12,http://www.56135.com/huoyuan/I9437433.html
浙江宁波余姚 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9437161.html
福建福州 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9437149.html
广东深圳 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9437042.html
广东广州 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9437040.html
广东深圳 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9437033.html
广东东莞 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9436921.html
广东东莞 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9436645.html
辽宁盘锦 , 北京,汽油,2018/10/12,http://www.56135.com/huoyuan/I9436465.html
浙江宁波 , 北京,快递,2018/10/12,http://www.56135.com/huoyuan/I9436226.html
内蒙古鄂尔多斯杭锦旗 , 北京,柴油,2018/10/12,http://www.56135.com/huoyuan/I9436210.html
江苏苏州 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9435988.html
陕西 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9435951.html
广东中山 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9435559.html
广东深圳 , 北京,普货,2018/10/12,http://www.56135.com/huoyuan/I9435555.html
湖南常德石门 , 北京,无,2018/10/12,http://www.56135.com/huoyuan/I9435503.html
辽宁盘锦 , 北京,重整汽油,2018/10/12,http://www.56135.com/huoyuan/I9435378.html
山西晋城高平 , 北京昌平,无,2018/10/12,http://www.56135.com/huoyuan/I9435284.html
河北邢台 , 北京,二甲,2018/10/12,http://www.56135.com/huoyuan/I9434960.html
河北唐山迁安 , 北京房山,螺纹,2018/10/11,http://www.56135.com/huoyuan/I9434936.html
江苏连云港东海 , 北京,螺纹,2018/10/11,http://www.56135.com/huoyuan/I9434860.html
河北唐山丰润 , 北京延庆,螺纹,2018/10/11,http://www.56135.com/huoyuan/I9434859.html
