始发地,目的地,货物类型,日期,网址
河南济源,北京,树苗,2018/3/25,http://www.56135.com/huoyuan/I6327324.html
广东广州,北京,17.5箱车,2017/12/19,http://www.56135.com/huoyuan/I5466869.html
海南海口,北京,豆角,2018/3/25,http://www.56135.com/huoyuan/I6327242.html
浙江温州,北京,冻品,2018/3/25,http://www.56135.com/huoyuan/I6326859.html
河南南阳,北京,花生米,2018/3/25,http://www.56135.com/huoyuan/I6326663.html
江西抚州南丰,北京,桔子,2018/3/25,http://www.56135.com/huoyuan/I6326623.html
广西桂林荔浦,北京,桔子,2018/3/25,http://www.56135.com/huoyuan/I6326622.html
广西桂林永福,北京,桔子,2018/3/25,http://www.56135.com/huoyuan/I6326621.html
山西忻州,北京,货,2018/3/25,http://www.56135.com/huoyuan/I6326575.html
山西忻州,北京昌平,货,2018/3/25,http://www.56135.com/huoyuan/I6326574.html
山西忻州原平,北京朝阳,货,2018/3/25,http://www.56135.com/huoyuan/I6326573.html
广东湛江,北京,冻虾,2018/3/25,http://www.56135.com/huoyuan/I6326223.html
山西大同天镇,北京顺义,重货,2018/3/25,http://www.56135.com/huoyuan/I6325748.html
河北唐山丰润,北京顺义,加气砖,2018/3/25,http://www.56135.com/huoyuan/I6325630.html
河北唐山丰润,北京,加气砖,2018/3/25,http://www.56135.com/huoyuan/I6325629.html
河北保定雄县,北京平谷,货,2018/3/25,http://www.56135.com/huoyuan/I6325628.html
河北秦皇岛卢龙,北京昌平,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325625.html
北京丰台,北京大兴,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325624.html
湖南常德石门,北京延庆,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325623.html
湖南常德石门,北京怀柔,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325621.html
湖南常德石门,北京丰台,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325620.html
湖南常德石门,北京平谷,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325618.html
湖南常德石门,北京房山,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325617.html
湖南常德石门,北京门头沟,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325615.html
湖南常德石门,北京顺义,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325613.html
河北唐山滦县,北京,碎料,2018/3/25,http://www.56135.com/huoyuan/I6325612.html
湖南常德石门,北京大兴,打包砖,2018/3/25,http://www.56135.com/huoyuan/I6325610.html
广西崇左凭祥,北京,冻品,2018/3/25,http://www.56135.com/huoyuan/I6325588.html
辽宁盘锦,北京,烷基化,2018/3/25,http://www.56135.com/huoyuan/I6325535.html
福建漳州,北京,货,2018/3/25,http://www.56135.com/huoyuan/I6325492.html
福建南平光泽,北京,冻品,2018/3/25,http://www.56135.com/huoyuan/I6325342.html
福建福州,北京,绿通,2018/3/25,http://www.56135.com/huoyuan/I6325339.html
福建南平建瓯,北京,绿通,2018/3/25,http://www.56135.com/huoyuan/I6325334.html
湖北孝感应城,北京房山,None,2018/3/24,http://www.56135.com/huoyuan/I6325118.html
湖北襄阳南漳,北京顺义,钙粉,2018/3/24,http://www.56135.com/huoyuan/I6325026.html
黑龙江佳木斯,北京,猪,2018/3/24,http://www.56135.com/huoyuan/I6325004.html
黑龙江绥化肇东,北京,猪,2018/3/24,http://www.56135.com/huoyuan/I6325002.html
黑龙江齐齐哈尔,北京,猪,2018/3/24,http://www.56135.com/huoyuan/I6324994.html
广东深圳,北京,货,2018/3/24,http://www.56135.com/huoyuan/I6324929.html
广东广州,北京,货,2018/3/24,http://www.56135.com/huoyuan/I6324928.html
广西桂林荔浦,北京,桔子,2018/3/24,http://www.56135.com/huoyuan/I6324907.html
广西桂林永福,北京,桔子,2018/3/24,http://www.56135.com/huoyuan/I6324906.html
山东济南,北京,货,2018/3/24,http://www.56135.com/huoyuan/I6324886.html
山东烟台莱阳,北京,None,2018/3/24,http://www.56135.com/huoyuan/I6324884.html
广东汕尾,北京,货,2018/3/24,http://www.56135.com/huoyuan/I6324833.html
广东湛江,北京,虾仁,2018/3/24,http://www.56135.com/huoyuan/I6324729.html
四川成都,北京,冻品,2018/3/24,http://www.56135.com/huoyuan/I6324448.html
四川成都,北京,菜,2018/3/24,http://www.56135.com/huoyuan/I6324421.html
浙江嘉兴,北京,货,2018/3/24,http://www.56135.com/huoyuan/I6324276.html
福建南平浦城,北京,货,2018/3/24,http://www.56135.com/huoyuan/I6324076.html
内蒙古鄂尔多斯杭锦旗,北京,化工,2018/3/24,http://www.56135.com/huoyuan/I6323834.html
广东湛江徐闻,北京,玉米,2018/3/24,http://www.56135.com/huoyuan/I6323579.html
内蒙古赤峰元宝山,北京密云,砖,2018/3/24,http://www.56135.com/huoyuan/I6323438.html
海南文昌锦山,北京顺义,砖,2018/3/24,http://www.56135.com/huoyuan/I6323437.html
海南文昌锦山,北京通州,砖,2018/3/24,http://www.56135.com/huoyuan/I6323436.html
贵州黔东南岑巩,北京平谷,砖,2018/3/24,http://www.56135.com/huoyuan/I6323435.html
内蒙古赤峰,北京密云,普货,2018/3/24,http://www.56135.com/huoyuan/I6323434.html
内蒙古赤峰,北京顺义,普货,2018/3/24,http://www.56135.com/huoyuan/I6323429.html
山东潍坊昌乐,北京房山,化工,2018/3/24,http://www.56135.com/huoyuan/I6323233.html
四川成都,北京,萝卜,2018/3/24,http://www.56135.com/huoyuan/I6323022.html
黑龙江佳木斯,北京,猪,2018/3/24,http://www.56135.com/huoyuan/I6322949.html
广东湛江徐闻,北京,玉米,2018/3/24,http://www.56135.com/huoyuan/I6322801.html
浙江温州,北京,冻品,2018/3/24,http://www.56135.com/huoyuan/I6322755.html
湖北孝感云梦,北京房山,石材,2018/3/24,http://www.56135.com/huoyuan/I6322746.html
河南南阳,北京,花生米,2018/3/24,http://www.56135.com/huoyuan/I6322651.html
湖北襄阳南漳,北京昌平,None,2018/3/24,http://www.56135.com/huoyuan/I6322650.html
湖北黄冈团风,北京,None,2018/3/24,http://www.56135.com/huoyuan/I6322646.html
湖北随州,北京昌平,None,2018/3/24,http://www.56135.com/huoyuan/I6322640.html
湖北襄阳枣阳,北京通州,None,2018/3/24,http://www.56135.com/huoyuan/I6322632.html
湖北黄冈麻城,北京,None,2018/3/24,http://www.56135.com/huoyuan/I6322623.html
山西长治,北京大兴,货,2018/3/24,http://www.56135.com/huoyuan/I6322614.html
湖北武汉黄陂,北京通州,钢模板,2018/3/24,http://www.56135.com/huoyuan/I6322600.html
黑龙江大庆,北京,化工,2018/3/23,http://www.56135.com/huoyuan/I6322487.html
福建厦门,北京,水果,2018/3/24,http://www.56135.com/huoyuan/I6322421.html
广东深圳,北京,龙眼,2018/3/23,http://www.56135.com/huoyuan/I6322090.html
黑龙江绥化肇东,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6321870.html
黑龙江佳木斯,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6321868.html
新疆塔城乌苏,北京通州,棉壳,2018/3/23,http://www.56135.com/huoyuan/I6321618.html
新疆塔城乌苏,北京密云,棉壳,2018/3/23,http://www.56135.com/huoyuan/I6321616.html
山东济南,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6321482.html
陕西榆林神木,北京朝阳,重货,2018/3/23,http://www.56135.com/huoyuan/I6321470.html
安徽合肥,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6321457.html
辽宁盘锦,北京,烷基化,2018/3/23,http://www.56135.com/huoyuan/I6321382.html
黑龙江大庆,北京,危险品,2018/3/23,http://www.56135.com/huoyuan/I6321259.html
广东湛江,北京,冻虾,2018/3/23,http://www.56135.com/huoyuan/I6321252.html
福建南平,北京,冻肉,2018/3/23,http://www.56135.com/huoyuan/I6321174.html
广东深圳,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6321151.html
黑龙江佳木斯,北京,猪,2018/3/23,http://www.56135.com/huoyuan/I6321117.html
山东青岛,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6320960.html
福建厦门,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6320904.html
福建南平浦城,北京,冷冻品,2018/3/23,http://www.56135.com/huoyuan/I6320821.html
上海,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6320745.html
福建漳州漳浦,北京,蔬菜绿通,2018/3/23,http://www.56135.com/huoyuan/I6320699.html
广东佛山,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6320648.html
河北唐山丰润,北京门头沟,None,2018/3/23,http://www.56135.com/huoyuan/I6320602.html
河北唐山丰润,北京门头沟,None,2018/3/23,http://www.56135.com/huoyuan/I6320600.html
河北唐山丰润,北京怀柔,None,2018/3/23,http://www.56135.com/huoyuan/I6320593.html
河北唐山丰润,北京大兴,None,2018/3/23,http://www.56135.com/huoyuan/I6320588.html
广西桂林荔浦,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6320542.html
山东东营河口,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6320538.html
福建漳州,北京,蔬菜,2018/3/23,http://www.56135.com/huoyuan/I6320507.html
山东,北京,柴油,2018/3/23,http://www.56135.com/huoyuan/I6320440.html
四川成都,北京,萝卜,2018/3/23,http://www.56135.com/huoyuan/I6320340.html
福建漳州诏安,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6320293.html
吉林,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6320186.html
辽宁盘锦,北京,化工,2018/3/23,http://www.56135.com/huoyuan/I6320174.html
辽宁盘锦,北京,化工,2018/3/23,http://www.56135.com/huoyuan/I6320143.html
福建漳州,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6320071.html
湖北黄冈麻城,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6320029.html
湖北武汉江岸,北京通州,None,2018/3/23,http://www.56135.com/huoyuan/I6319969.html
湖北襄阳枣阳,北京通州,None,2018/3/23,http://www.56135.com/huoyuan/I6319963.html
内蒙古鄂尔多斯杭锦旗,北京,石脑油,2018/3/23,http://www.56135.com/huoyuan/I6319932.html
河北唐山迁安,北京昌平,沙子,2018/3/23,http://www.56135.com/huoyuan/I6319828.html
河北唐山迁安,北京通州,石子,2018/3/23,http://www.56135.com/huoyuan/I6319827.html
河北唐山迁安,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6319824.html
河北唐山迁安,北京大兴,石子,2018/3/23,http://www.56135.com/huoyuan/I6319823.html
河北唐山迁安,北京房山,小石子,2018/3/23,http://www.56135.com/huoyuan/I6319822.html
湖南常德石门,北京昌平,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319821.html
湖南常德石门,北京大兴,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319820.html
湖南常德石门,北京房山,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319819.html
湖南常德石门,北京通州,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319818.html
湖南常德石门,北京平谷,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319817.html
湖南常德石门,北京石景山,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319816.html
湖南常德石门,北京怀柔,打包砖,2018/3/23,http://www.56135.com/huoyuan/I6319814.html
河南漯河,北京密云,None,2018/3/23,http://www.56135.com/huoyuan/I6319553.html
浙江温州,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319547.html
广东汕头,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319503.html
四川凉山,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319502.html
湖北随州,北京昌平,None,2018/3/23,http://www.56135.com/huoyuan/I6319473.html
湖北黄冈团风,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319466.html
湖北襄阳南漳,北京昌平,None,2018/3/23,http://www.56135.com/huoyuan/I6319462.html
内蒙古,北京房山,None,2018/3/23,http://www.56135.com/huoyuan/I6319369.html
山西大同,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319331.html
内蒙古鄂尔多斯杭锦旗,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319315.html
内蒙古鄂尔多斯杭锦旗,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319219.html
山东烟台,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6319173.html
内蒙古包头,北京,钢材,2018/3/23,http://www.56135.com/huoyuan/I6319068.html
山西晋城高平,北京大兴,货,2018/3/23,http://www.56135.com/huoyuan/I6319043.html
河北保定蠡县,北京昌平,货,2018/3/23,http://www.56135.com/huoyuan/I6318838.html
河北石家庄,北京,None,2018/3/23,http://www.56135.com/huoyuan/I6318837.html
河南南阳,北京,花生米,2018/3/23,http://www.56135.com/huoyuan/I6318800.html
河北保定,北京昌平,货,2018/3/23,http://www.56135.com/huoyuan/I6318799.html
广东中山,北京,百货,2018/3/23,http://www.56135.com/huoyuan/I6318643.html
河南郑州,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6318616.html
宁夏银川,北京房山,甲醇,2018/3/23,http://www.56135.com/huoyuan/I6318582.html
云南保山,北京,豆角,2018/3/23,http://www.56135.com/huoyuan/I6318518.html
山西运城,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6318459.html
四川成都,北京,水果,2018/3/23,http://www.56135.com/huoyuan/I6318458.html
山东滨州惠民,北京昌平,树苗,2018/3/23,http://www.56135.com/huoyuan/I6318066.html
新疆阿拉尔,北京昌平,棉粕,2018/3/23,http://www.56135.com/huoyuan/I6317974.html
山东东营广饶,北京朝阳,柴油,2018/3/23,http://www.56135.com/huoyuan/I6317935.html
云南保山,北京,绿通,2018/3/23,http://www.56135.com/huoyuan/I6317920.html
广西崇左凭祥,北京,鱼,2018/3/23,http://www.56135.com/huoyuan/I6317798.html
四川遂宁大英,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6317573.html
山东潍坊,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6317465.html
广东深圳,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6317455.html
江苏苏州,北京,货,2018/3/23,http://www.56135.com/huoyuan/I6317453.html
陕西榆林府谷,北京朝阳,煤炭,2018/3/23,http://www.56135.com/huoyuan/I6317421.html
广东佛山,北京,快递,2018/3/23,http://www.56135.com/huoyuan/I6317301.html
福建福州,北京,普货,2018/3/23,http://www.56135.com/huoyuan/I6317212.html
福建厦门,北京,绿通,2018/3/23,http://www.56135.com/huoyuan/I6317208.html
