职位,公司名称,地址,经度,纬度,网址
物流专员,天地华宇集团,新华区十三化建北行3公里路西,116.8970745,38.34812656,https://jobs.51job.com/cangzhou/98752595.html?s=01&t=0
生鲜经理（天津）,美菜网,夏家河子附近,117.2108131,39.1439299,https://jobs.51job.com/dalian-gjzq/100020172.html?s=01&t=0
理货员,天津市蓝天安保服务有限公司,狮山县,117.2108131,39.1439299,https://jobs.51job.com/foshan-nhq/102008273.html?s=01&t=0
区域调度专员(职位编号：Transfar003507),传化物流集团有限公司（陆鲸科技）,钱江世纪城传化大厦,117.2108131,39.1439299,https://jobs.51job.com/hangzhou/99424044.html?s=01&t=0
包装工程师,赛铭瑞汽车零部件（廊坊）有限公司,香河县新兴产业示范区（现代产业园）宝海路4号,117.0039836,39.81202727,https://jobs.51job.com/langfang/101698586.html?s=01&t=0
包装工程师,赛铭瑞汽车零部件（廊坊）有限公司,香河县新兴产业示范区（现代产业园）宝海路4号,117.0039836,39.81202727,https://jobs.51job.com/langfang/99935849.html?s=01&t=0
储备干部,兆航物流南北二区,鹿泉区龙泉路56号,117.2218878,39.01709904,https://jobs.51job.com/shijiazhuang/99894978.html?s=01&t=0
仓库管理员（绩效奖金）,武汉建中伟业科技有限公司,北辰区,117.1806061,39.25913063,https://jobs.51job.com/tianjin/100203234.html?s=01&t=0
仓库管理文员,天津锐创环保科技有限公司,天津市西青区华鼎高科技发展中心（创新六路北）,117.0741416,39.09039187,https://jobs.51job.com/tianjin/100280786.html?s=01&t=0
电商仓库管理员,上海曼伦商贸有限公司,天津,117.2108131,39.1439299,https://jobs.51job.com/tianjin/100477798.html?s=01&t=0
仓库管理员,益嘉物流（天津）有限公司,天津港保税区津滨大道95号,117.7721039,39.01515668,https://jobs.51job.com/tianjin/100588925.html?s=01&t=0
运输调度,益嘉物流（天津）有限公司,天津港保税区津滨大道95号,117.7721039,39.01515668,https://jobs.51job.com/tianjin/100599899.html?s=01&t=0
Warehouse Keeper 仓库管理,基伊埃工程技术（中国）有限公司,武清开发区泉达路8号,117.0536887,39.41174785,https://jobs.51job.com/tianjin/100668066.html?s=01&t=0
仓库经理,北京埃顿酒店服务有限公司上海第二分公司,武清开发区,117.0593897,39.3956782,https://jobs.51job.com/tianjin/100885198.html?s=01&t=0
