职位,公司名称,地址,经度,纬度,工资,发布时间,网址
仓库库管,天津德汇宝商贸有限公司,万发科技园,39.28154331,117.2373756,,,https://jobs.51job.com/tianjin-bcq/97092266.html?s=01&t=5
仓库管理员,天津市一丰商贸有限公司,天津市南开区延安路6号中欣汽配城501. （五金城附近）,39.13768095,117.1235858,3-4.5千/月,7月11日,https://jobs.51job.com/tianjin-nkq/103536067.html?s=01&t=0
配件库管,天津中辰自动化设备有限公司,天津市东丽区金桥工业园亿达路8号,39.10933856,117.4190877,3-4.5千/月,,https://jobs.51job.com/tianjin-dlq/91734237.html?s=01&t=0
天地华宇招聘仓管员,天地华宇集团,双街镇德利得物流园内,39.27642922,117.1172614,,,https://jobs.51job.com/tianjin-bcq/103519040.html?s=01&t=0
仓库管理员 包吃住 年底双薪 五险一金,天津世尊进出口贸易有限公司,滨海新区,39.05917664,117.6462863,4.5-6千/月,7月10日,https://jobs.51job.com/tianjin-bhxq/92507877.html?s=01&t=0
仓库库管,天津德汇宝商贸有限公司,万发科技园,39.28154331,117.2373756,3-4.5千/月,,https://jobs.51job.com/tianjin-bcq/97092266.html?s=01&t=0
仓库管理员,天津展晨化工贸易有限公司,西堤头镇,39.29771459,117.33078,3-4.5千/月,6月30日,https://jobs.51job.com/tianjin-bcq/98905237.html?s=01&t=0
库房管理,北京思腾合力科技有限公司,北欧绿色产业园6号楼2层,39.4434085,116.9892385,3-4.5千/月,7月3日,https://jobs.51job.com/tianjin-wqq/103526727.html?s=01&t=0
仓库管理员,天津卡利欧玛热能设备制造有限公司,天津市宝坻区天宝工业园区,39.615544,117.4114206,4.5-6千/月,7月4日,https://jobs.51job.com/tianjin-bdq/103515405.html?s=01&t=0
天津仓配包装交接组长,北京畅速快递有限公司,福源道78号  敏华工业城8--6号,39.42250534,117.0272873,5-6千/月,7月3日,https://jobs.51job.com/tianjin-wqq/103492144.html?s=01&t=0
仓库管理员,天津费莱瑞思商贸有限公司,天津市东丽区金钟河大街大毕庄工业区,39.20119276,117.2599273,3.5-4千/月,6月22日,https://jobs.51job.com/tianjin-dlq/103487715.html?s=01&t=0
配件顾问-汽配电商（天津）,广州市巴图鲁信息科技有限公司,天津市武清区东马圈镇武落公路东侧,39.46610034,116.848243,4-8千/月,,https://jobs.51job.com/tianjin/103294826.html?s=01&t=0
仓库主管,布柯玛蓄能器（天津）有限公司,津南经济开发区中惠道2号,39.04004445,117.3126338,4.5-6千/月,7月11日,https://jobs.51job.com/tianjin-jnq/103092313.html?s=01&t=0
仓库管理员,天津新大洋模具有限公司静海分公司,经济开发区南区天宇科技园泰安道西侧天津新大洋模具有限公司静海分公司,38.90821152,116.9977723,4-5千/月,,https://jobs.51job.com/tianjin-jhq/102360627.html?s=01&t=0
车间库管员,天津市中重科技工程有限公司,高新大道景祥路16号,39.2368311,117.2735331,3-4.5千/月,6月19日,https://jobs.51job.com/tianjin-bcq/101514487.html?s=01&t=0
仓配管理员(职位编号：clwg000593),云骊（上海）电子科技有限公司,天津,39.1439299,117.2108131,4-6千/月,,https://jobs.51job.com/tianjin/101452333.html?s=01&t=0
生产调度员,新华文轩出版传媒股份有限公司,天津市武清开发区旺源道4号,39.3956782,117.0593897,2-4千/月,7月10日,https://jobs.51job.com/tianjin-wqq/100120525.html?s=01&t=0
