职位,公司名称,城市,城区,地址,经度,纬度,工资(千/月）,网址
搬运工,内洽特克（天津）国际贸易有限公司,天津,西青区,西青区精武镇,117.141647,39.03474214,2.5-3千/月,https://jobs.51job.com/tianjin-xqq/103262334.html?s=01&t=0
仓库管理员,111集团（1药网）,天津,,空港区,117.2108131,39.1439299,3-4.5千/月,https://jobs.51job.com/tianjin/86439375.html?s=01&t=0
搬运工,上海新易泰物流有限公司,天津,武清区,武清区京津公路东侧8号天津市正阳彩印有限公司院内新易泰物流,117.2027612,39.16571854,3-4.5千/月,https://jobs.51job.com/tianjin-wqq/94379757.html?s=01&t=0
搬运工,天津市悦鑫建筑装饰工程有限公司,天津,河东区,河东区天山南路万隆小区,117.2868745,39.13002065,4-4.1千/月,https://jobs.51job.com/tianjin-hdq/98511176.html?s=01&t=0
搬运工,天津驿源恒泰酒水销售有限公司,天津,红桥区,红桥区怡闲道,117.1681044,39.14905667,3.5-4.5千/月,https://jobs.51job.com/tianjin-hqq/101496031.html?s=01&t=0
仓库管理员,PPG航空材料（天津）有限公司,天津,东丽区,空港经济区综合保税区,117.3769356,39.16770537,,https://jobs.51job.com/tianjin-dlq/102916774.html?s=01&t=0
仓储管理文员,PPG航空材料（天津）有限公司,天津,东丽区,空港经济区综合保税区,117.3769356,39.16770537,4-6千/月,https://jobs.51job.com/tianjin-dlq/104593471.html?s=01&t=0
仓库管理员,Tesla特斯拉汽车,天津,,旺港路,117.308352,39.04750457,0.5-1万/月,https://jobs.51job.com/tianjin/102919249.html?s=01&t=0
仓库管理员,ToryBurch 汤丽柏琦（上海）商贸有限公司,天津,,乐天,117.2108131,39.1439299,4.5-6千/月,https://jobs.51job.com/tianjin/103347910.html?s=01&t=0
搬运工,上海凯立企业管理有限公司,天津,宁河区,宁河区安捷西路2号德邦物流,117.441857,39.25754713,,https://jobs.51job.com/tianjin-nhq/103458639.html?s=01&t=0
搬运工,天地华宇集团,天津,北辰区,北辰区双街镇德利得物流园天地华宇物流公司,117.1172614,39.27642922,4-6.5千/月,https://jobs.51job.com/tianjin-bcq/101785637.html?s=01&t=0
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-nhq/99117722.html?s=01&t=0
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-jhq/99117713.html?s=01&t=0
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-bhxq/99117708.html?s=01&t=0
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-jhq/99456886.html?s=01&t=0
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-nhq/102980536.html?s=01&t=0
搬运工,上海赫持货运代理有限公司,天津,宁河区,宁河现代产业园,117.435577,39.24779765,,https://jobs.51job.com/tianjin-nhq/102597059.html?s=01&t=0
