职位,公司名称,地址,经度,纬度,工资,网址,
仓库库管,天津德汇宝商贸有限公司,万发科技园,39.28154331,117.2373756,,https://jobs.51job.com/tianjin-bcq/97092266.html?s=01&t=5,
配件库管,天津中辰自动化设备有限公司,天津市东丽区金桥工业园亿达路8号,39.10933856,117.4190877,3-4.5千/月,https://jobs.51job.com/tianjin-dlq/91734237.html?s=01&t=0,
仓库管理员,天津展晨化工贸易有限公司,西堤头镇,39.29771459,117.33078,3-4.5千/月,https://jobs.51job.com/tianjin-bcq/98905237.html?s=01&t=0,
仓库管理员,天津卡利欧玛热能设备制造有限公司,天津市宝坻区天宝工业园区,39.615544,117.4114206,4.5-6千/月,https://jobs.51job.com/tianjin-bdq/103515405.html?s=01&t=0,
天津仓配包装交接组长,北京畅速快递有限公司,福源道78号  敏华工业城8--6号,39.42250534,117.0272873,5-6千/月,https://jobs.51job.com/tianjin-wqq/103492144.html?s=01&t=0,
仓库管理员,天津费莱瑞思商贸有限公司,天津市东丽区金钟河大街大毕庄工业区,39.20119276,117.2599273,3.5-4千/月,https://jobs.51job.com/tianjin-dlq/103487715.html?s=01&t=0,
车间库管员,天津市中重科技工程有限公司,高新大道景祥路16号,39.2368311,117.2735331,3-4.5千/月,https://jobs.51job.com/tianjin-bcq/101514487.html?s=01&t=0,
仓配管理员(职位编号：clwg000593),云骊（上海）电子科技有限公司,天津,39.1439299,117.2108131,4-6千/月,https://jobs.51job.com/tianjin/101452333.html?s=01&t=0,
机加工库管,天津德力塔仪表科技有限公司,宜兴埠七街工业园华科道88号,39.22257355,117.2403635,2-3千/月,https://jobs.51job.com/tianjin-bcq/99336468.html?s=01&t=0,
仓库管理员,天津市诚瑞丰科技有限公司,大良镇隆良道1号,39.54193589,117.1153749,3-4.5千/月,https://jobs.51job.com/tianjin-wqq/94327138.html?s=01&t=0,
库房文员,天津德普威涂料有限公司,武清区富民开发区C区一经路8号,39.3216138,117.0998733,,https://jobs.51job.com/tianjin-wqq/103461102.html?s=01&t=0,
